orbital_period,planet_radius,stellar_radius,stellar_temp,label
41.688644,2.35545351,0.956122,5703.0,confirmed
41.6855,2.23,0.928,5766.0,confirmed
41.6855,2.57807,1.08,5766.0,confirmed
2.30183,1.12,0.762602,4616.52,candidate
2.302368,1.31258765,0.710995,4720.0,candidate
1.1947488,4.19,0.57,3919.0,candidate
6.178369,9.91257877,0.789478,5015.0,candidate
6.17887,8.84,0.849432,4719.28,candidate
2.71189,4.34,3.16745,6402.0,candidate
18.10549,2.09985108,1.224685,6213.0,candidate
6.7987,1.047,0.282,3648.0,confirmed
79.9999,10.2,0.508,4542.0,candidate
17.77297,26.44,1.25428,5847.0,candidate
0.99656225,32.8,0.5,3727.0,candidate
14.912381,3.55,0.65,4224.0,candidate
0.57303573,3.35,0.43,3570.0,candidate
7.9069606,3.02,0.52,3772.0,candidate
1.0829614,1.56,0.56,3875.0,candidate
0.90552205,1.52,0.5,3710.0,candidate
2.7541129,4.87,0.55,3834.0,candidate
2.75391,3.78,0.436,3918.0,candidate
50.285869,3.47,0.74,4859.0,false_positive
50.27762,209.52,10.96,5141.0,false_positive
0.21219899,1.05,0.37,3468.0,candidate
0.212194,0.77,0.26,3299.0,candidate
1.5778643,7.55,0.73,4811.0,candidate
13.0113,2.43,0.880221,5347.0,candidate
21.204739,9.11013939,1.761722,5154.0,candidate
2.519334,3.91,1.45,6283.0,false_positive
2.5194039,7.65729,1.76,6380.0,false_positive
2.5194078,7.99,1.72,7119.0,false_positive
13.383629,2.87289326,0.815235,5216.0,candidate
13.38382,2.7,0.65973,5113.71,candidate
27.47083,3.36,0.749863,4947.03,candidate
2.8268121,40.1,0.98,5736.0,candidate
0.72091,1.5,0.94,5633.0,confirmed
4.4416421,1.17,0.9,5547.0,candidate
4.441258,1.12422498,0.833852,5450.0,candidate
8.006875,2.384,0.846,5403.0,candidate
3.3643115,85.6,1.32,6240.0,candidate
13.837814,1.96,0.7,4535.0,candidate
7.7991586,1.57,0.7,4535.0,candidate
2.3330982,5.48,0.5,3726.0,candidate
2.33293,3.2,0.224,3508.0,candidate
36.762337,3.44,0.75,4932.0,candidate
19.565799,6.412,0.854,4486.0,candidate
6.3991398,1.85,0.8,5210.0,candidate
15.695142,2.028,0.625,4270.0,candidate
1.9668579,1.51,0.77,5063.0,candidate
12.726743,1.91,0.73,4767.0,candidate
0.18746328,217.0,17.27,46696.0,candidate
8.6382631,8.53,0.5,3720.0,candidate
8.63829,6.81,0.438,3960.0,candidate
8.6381,15.99,0.5,3987.0,candidate
5.7968861,24.2,0.72,4721.0,false_positive
5.79687,27.81,0.79,5192.0,false_positive
22.197992,5.34,0.4,3508.0,candidate
3.2908998,1.57,0.72,4671.0,candidate
0.877214,1.3,0.93,5820.0,confirmed
0.87724,1.565,0.98,5679.0,confirmed
0.87703,1.2,0.990833,5711.17,confirmed
0.877183,1.40575209,0.932487,5705.0,confirmed
2.8964139,2.45,0.42,3547.0,candidate
0.44433632,1.01,0.8,5208.0,candidate
0.444372,1.22,0.82,5540.0,candidate
7.28161,1.78,0.49,3742.0,candidate
7.28116,1.79,0.541438,3726.0,candidate
7.28138,17.0,0.399,3784.0,candidate
7.28131,1.9,0.51,3748.0,candidate
5.28081,10.9,3.01,6227.0,candidate
440.0,16.3,0.85,4600.0,candidate
30.0,22.8,0.89,3400.0,candidate
7.655533,2.328,0.751,5114.0,candidate
27.770388,25.1,0.71,4598.0,false_positive
27.77045,32.79,8.15,5086.0,false_positive
0.259669,0.77,0.69,4340.0,candidate
0.25967056,0.742,0.59,3982.0,candidate
35.621,1.89,0.898,5440.0,candidate
1.9611469,5.93,0.64,4166.0,candidate
1.96133691104,15.86577929,1.06738,4427.0,candidate
40.7302,7.8,0.98,5840.0,candidate
40.7362,7.28,0.85,5618.0,candidate
0.60408352,2.26,0.67,4331.0,candidate
3.52743,1.11,0.257,3624.0,candidate
3.52674,1.32,0.350987,3413.0,candidate
3.5269024,2.98,0.67,4332.0,candidate
6340.0,12.8,0.88,4800.0,candidate
9.321691,17.325,0.678,5089.0,candidate
2.0478,0.90819,0.655,4520.0,confirmed
27.24273,31.73,0.92,6166.0,false_positive
27.242912,18.8,0.9,5547.0,false_positive
1.3951513,0.879,0.32,3390.0,candidate
33.5107,2.14,0.896,5683.0,candidate
33.51569,3.83,0.71,5552.0,candidate
