orbital_period,transit_duration,planet_radius,transit_depth,stellar_radius,stellar_temp,label
9.48803557,2.9575,2.26,615.8,0.927,5455.0,confirmed
54.4183827,4.507,2.83,874.8,0.927,5455.0,confirmed
19.89913995,1.7822,14.6,10829.0,0.868,5853.0,candidate
1.736952453,2.40641,33.46,8079.2,0.791,5805.0,false_positive
2.525591777,1.6545,2.75,603.3,1.046,6031.0,confirmed
11.09432054,4.5945,3.9,1517.5,0.972,6046.0,confirmed
4.13443512,3.1402,2.77,686.0,0.972,6046.0,confirmed
2.56658897,2.429,1.59,226.5,0.972,6046.0,confirmed
7.36178958,5.022,39.21,233.7,1.958,6227.0,false_positive
16.06864674,3.5347,5.76,4914.3,0.848,5031.0,confirmed
2.470613377,1.74319,13.04,14231.0,0.964,5820.0,confirmed
2.204735417,3.88864,16.1,6674.7,1.952,6440.0,confirmed
3.522498429,3.19843,14.59,9145.7,1.451,6225.0,confirmed
3.709214104,2.6302,1.16,131.1,1.022,5833.0,confirmed
11.521446064,3.6399,150.51,17984.0,0.848,5795.0,false_positive
19.40393776,12.2155,7.18,8918.7,0.68,5043.0,false_positive
19.221388942,4.79843,49.29,74284.0,0.947,6117.0,false_positive
16.46983774,9.4378,7.94,10479.0,0.786,5152.0,false_positive
9.27358173,3.2875,2.47,1288.3,0.696,4856.0,confirmed
6.02930329,1.5821,2.85,1912.7,0.672,4537.0,confirmed
2.696370652,3.6129,1.58,397.9,0.819,4989.0,false_positive
5.349553819,3.0278,2.55,831.0,0.91,5185.0,confirmed
3.94105221,2.5984,1.7,363.3,0.91,5185.0,confirmed
8.10904807,3.596,1.3,217.4,0.91,5185.0,confirmed
386.6030528,6.8057,41.5,24927.0,1.58,5543.0,false_positive
21.67699193,3.4555,2.95,857.2,0.828,4954.0,confirmed
4.99677968,2.1717,2.78,934.7,0.847,5339.0,confirmed
4.280963604,2.875,2.3,750.8,0.831,5644.0,confirmed
1.50635409,1.5155,4.53,2211.7,0.831,5714.0,false_positive
670.645531,53.412,14.14,18091.0,0.983,5520.0,false_positive
61.2563628,7.633,39.87,5123.3,1.091,6144.0,false_positive
38.3775486,5.588,2.82,724.2,1.036,5481.0,confirmed
41.19725502,4.6297,3.86,2213.9,0.848,5031.0,confirmed
6.252962249,2.5819,2.65,1036.9,0.848,5031.0,confirmed
16.01308419,3.2554,3.1,1121.9,0.826,5015.0,confirmed
32.62876672,4.7971,3.36,1804.8,0.798,5586.0,confirmed
91.7732862,6.473,2.12,652.0,0.798,5586.0,confirmed
4.959319244,2.22739,12.21,9802.0,1.082,5712.0,confirmed
2.701287801,3.3827,6.54,860.4,0.91,5550.0,false_positive
4.49876511,3.7362,2.1,460.0,0.969,6075.0,confirmed
19.651209505,5.2514,12.42,11766.0,1.063,6074.0,false_positive
5.412203927,2.9472,2.94,601.6,1.087,5779.0,confirmed
41.43958662,10.5989,5.5,2793.1,1.046,5468.0,confirmed
8.35389523,2.2514,2.52,1041.6,0.787,5592.0,confirmed
4.125543472,3.1744,4.43,1487.3,1.103,6174.0,confirmed
2.816504904,2.50587,12.21,16814.0,0.955,5532.0,confirmed
33.93373447,14.561,7.34,8503.7,0.705,5040.0,false_positive
3.689920099,2.6557,1.89,426.7,0.917,5880.0,confirmed
4.431238488,3.15,3.25,1010.9,1.015,5714.0,confirmed
11.37936986,2.6255,3.95,1023.5,1.015,5714.0,confirmed
26.39432897,3.573,3.07,1510.9,0.763,5129.0,confirmed
13.57078281,3.3539,2.64,511.7,1.012,5854.0,confirmed
7.12594387,3.0014,1.79,192.4,1.087,5779.0,confirmed
7.442652004,2.3078,15.03,24446.0,0.956,6108.0,false_positive
16.38489988,3.0249,2.0,1127.1,0.615,4126.0,confirmed
7.8774163,2.0805,2.16,1306.1,0.615,4126.0,confirmed
36.4454001,4.007,1.99,1122.3,0.615,4126.0,confirmed
3.728732147,2.683,6.02,5226.5,0.809,5497.0,confirmed
40.4195037,3.362,7.51,6256.0,0.781,5446.0,candidate
2.243380573,1.1196,1.99,821.7,0.564,4149.0,confirmed
10.405998015,6.5036,11.23,14489.0,0.924,5746.0,false_positive
2.337437946,1.9982,2.34,971.2,0.765,5005.0,confirmed
7.2406612,0.558,19.45,556.4,0.765,5005.0,candidate
3.43591631,3.133,0.55,23.2,1.087,5779.0,candidate
11.59822233,2.5237,2.65,2804.5,0.473,3688.0,confirmed
6.575315881,4.3084,5.31,2793.3,0.989,5992.0,confirmed
7.275040844,7.5377,4.86,3001.0,0.867,5485.0,confirmed
19.27153892,2.7594,1.93,1219.8,0.56,4077.0,confirmed
10.06524317,1.369,1.91,1053.3,0.56,4077.0,confirmed
12.3935651,3.8896,2.66,916.6,0.75,5557.0,confirmed
43.84439721,6.802,2.87,615.2,1.012,5854.0,confirmed
3.341913228,3.813,21.55,725.3,0.811,5295.0,false_positive
1.626630225,2.1145,32.43,1620.6,0.973,5735.0,false_positive
2.711504086,3.0099,3.12,837.5,1.076,6214.0,confirmed
7.21203748,4.0491,3.32,950.4,1.076,6214.0,confirmed
14.1798187,2.505,1.88,459.9,0.878,5799.0,false_positive
8.47237911,2.7245,2.59,1123.5,0.788,5354.0,confirmed
60.4189369,5.039,2.36,931.3,0.788,5354.0,confirmed
12.611904345,5.1497,7.4,6105.6,0.919,5795.0,confirmed
1.433769925,1.8868,46.58,1976.3,1.339,6017.0,false_positive
10.31872301,3.836,28.59,871.7,1.06,5927.0,false_positive
2.539183147,2.4282,2.06,382.1,1.062,5519.0,confirmed
6.770300385,2.0844,2.77,1304.0,0.679,5653.0,confirmed
0.444291966,2.0792,27.51,10967.0,0.636,5255.0,false_positive
10.181584004,3.5089,7.73,5741.1,0.836,5988.0,candidate
20.06036336,3.3203,1.96,1494.7,0.493,3950.0,confirmed
46.1842039,4.758,1.83,1394.7,0.493,3950.0,confirmed
23.9800854,5.351,1.31,104.0,1.012,5854.0,confirmed
7.82502168,2.186,1.2,520.8,0.493,3950.0,confirmed
3.895936525,2.3111,7.34,8544.8,0.774,5557.0,confirmed
22.36646466,5.228,2.32,986.8,0.734,5395.0,confirmed
1.625522174,2.38963,9.73,7969.0,1.106,5539.0,confirmed
19.620346923,2.0038,13.6,21725.0,0.905,5710.0,candidate
7.544039,6.222,17.47,322.6,0.824,5657.0,false_positive
9.02930689,3.1449,2.57,1019.8,0.82,5349.0,confirmed
10.328035714,7.7915,13.28,16918.0,1.024,5627.0,false_positive
143.2063047,8.9302,8.9,10566.0,0.867,5485.0,confirmed
6.164876,3.262,0.79,55.8,1.012,5854.0,confirmed
60.32494216,6.6188,12.19,20280.0,0.867,5485.0,confirmed
29.1598615,4.803,1.91,488.0,0.867,5485.0,confirmed
1.540397253,2.1541,25.69,816.1,0.915,5663.0,false_positive
2.99025443,5.414,1.7,589.2,0.731,4667.0,false_positive
1.594745374,1.9604,11.3,15044.0,0.893,5934.0,confirmed
4.783002698,2.335,2.5,1008.7,0.807,5170.0,confirmed
20.50588921,4.0595,3.41,2105.5,0.761,4905.0,confirmed
3.340218842,1.9104,2.03,1632.6,0.493,3950.0,confirmed
2.507089906,2.0067,30.26,1339.2,0.939,5926.0,false_positive
18.64932728,4.4056,3.12,893.6,1.053,5775.0,confirmed
4.90144976,4.1654,1.7,140.7,1.402,5847.0,confirmed
9.75192101,4.793,2.76,418.0,1.053,5775.0,confirmed
38.5576546,5.794,4.02,993.0,1.053,5775.0,confirmed
3.525632539,2.59959,11.58,22335.0,0.793,5150.0,confirmed
34.84398644,2.9315,7.61,4523.6,0.871,5509.0,candidate
7.748094239,3.5957,5.52,2472.1,1.085,5973.0,confirmed
23.96793669,3.827,1.8,1182.3,0.524,3747.0,confirmed
8.29561738,1.3421,1.82,824.3,0.524,3747.0,confirmed
8.11437482,2.2736,2.1,1558.0,0.517,3692.0,confirmed
38.036729482,4.34617,27.5,82872.0,0.932,5575.0,false_positive
4.64090031,35.512,30.09,2450.6,0.826,6463.0,candidate
3.747838198,5.0642,13.65,616.0,0.826,5514.0,false_positive
14.74914825,6.0995,2.89,430.2,1.402,5847.0,confirmed
21.81295996,4.3791,3.38,1175.4,0.999,5601.0,confirmed
7.91936937,3.3148,10.34,15148.0,0.776,5690.0,false_positive
1.028436523,1.8606,72.77,8098.0,0.99,6228.0,candidate
15.37562369,3.3169,11.01,15337.0,0.833,4986.0,confirmed
8.10363271,3.161,2.11,887.9,0.732,4861.0,confirmed
4.71510843,2.506,1.46,417.5,0.732,4861.0,confirmed
6.365839713,2.9721,2.44,780.7,0.849,5776.0,confirmed
5.97581754,3.065,3.86,962.4,0.997,6108.0,false_positive
2.446737317,4.7211,26.25,1177.9,0.863,5764.0,false_positive
3.04033046,1.8411,8.99,10859.0,0.791,5035.0,confirmed
15.33528675,3.897,5.0,3081.4,0.817,5251.0,confirmed
7.95825328,4.377,1.06,50.0,1.402,5847.0,confirmed
31.33046135,5.176,6.5,5073.8,0.817,5251.0,confirmed
3.9043425,3.831,12.28,16228.0,0.898,5810.0,false_positive
9.286358079,3.49949,17.61,44791.0,0.821,5670.0,false_positive
