orbital_period,transit_duration,planet_radius,transit_depth,stellar_radius,stellar_temp,label
2.1713484,2.0172196,5.8181633,656.8860989,2.16986,10249.0,false_positive
1.9316462,3.166,11.2154,1286.0,2.01,7070.0,pc
1.8675574,1.408,23.7529,1500.0,5.73,8924.0,false_positive
3.5730141,3.37,11.3113,755.0,2.15,9219.0,false_positive
4.5505945,2.654,7.10841,3731.0,1.09,5613.0,false_positive
2.5047918,4.3797563,8.6950898,2270.5402194,1.53429,6616.0,false_positive
6.9989206,3.953,14.7752,2840.0,2.7,6596.0,pc
2.0483755,2.767,3.19621,483.0,1.57,6858.5,false_positive
1.4303699,1.6165994,13.1874503,18960.7122944,0.890774,5600.0,kp
0.6808702,2.4634563,5.9115908,1507.8006889,1.0,9438.0,false_positive
2.4704981,2.191,1.44656,250.0,0.94,5413.7,pc
0.884182,1.621,24.8132,1890.0,2.72,8928.0,apc
1.3730466,2.5708515,42.1479417,1301.5065338,6.7996101,4897.0,false_positive
12.6889415,7.9201001,14.0608342,3232.8527885,1.53641,7601.0,false_positive
1.10422,2.37,21.0448,14177.7,1.61,6995.2,false_positive
4.95912,2.509,22.9123,7440.0,2.0,5889.0,false_positive
5.2341008,3.7078139,24.2931408,20796.9416293,1.56203,7645.0,pc
4.4119378,3.65,15.4706,15062.0,1.21,6280.0,kp
1.90879,1.909,3.34688,618.482,1.22,6022.6,false_positive
3.09574,4.475,3.4262,380.0,1.41,6084.0,fa
1.3214483,3.435,21.8839,2180.0,2.99,5050.8,false_positive
18.0157,2.524,21.644,610.0,7.61,4709.0,false_positive
14.2628757,6.9350494,2.4765813,913.2067174,0.853898,5690.0,false_positive
3.2834565,1.537,2.87648,1558.0,0.68,4272.0,pc
11.02875,2.715,2.76586,1694.0,0.68,4272.0,pc
5.0113292,1.024,2.52314,1210.0,0.68,4272.0,pc
1.01606,2.843,1.20704,240.0,0.68,4634.0,false_positive
3.547854,3.494333,14.581841,10424.3718,1.4,6351.0,kp
12.1246519,4.612,17.6729,7279.0,1.07,4807.6,false_positive
5.652623,3.434,8.94354,1250.0,1.92,6415.4,false_positive
5.6643704,3.8087395,14.7738943,3491.8232968,2.3383701,10395.0,pc
29.0160175,5.345,6.77406,1389.0,2.01,6113.1,false_positive
3.6404389,2.5339234,3.7025342,476.3077321,1.60776,9810.0,false_positive
6.0744477,2.4954821,30.9493217,5982.5212406,2.4303801,5964.0,pc
3.7795212,2.952,5.98375,2761.0,1.18,5771.0,pc
1.2025238,1.991,6.31106,390.0,1.74,9158.0,false_positive
3.2235985,2.159,5.51341,680.0,2.17,8904.0,false_positive
4.0872956,5.586113,13.6237732,3572.1712499,2.2186699,6036.0,kp
2.55555,1.566,11.5901,340.0,6.04,10037.0,false_positive
8.30792,3.228,43.1068,8350.0,3.05,9081.0,false_positive
0.758082,1.8184632,10.1273702,583.93181,3.5086601,9917.0,pc
1.4415577,2.349,3.61078,507.0,1.52,6902.0,false_positive
3.7039994,4.277,17.57,7590.0,1.9,7013.8,false_positive
1.3042553,1.706,9.36472,914.0,1.75,6762.0,false_positive
0.62627,0.666,5.72162,1880.0,0.93,5622.0,false_positive
0.30412,0.748,10.417,1330.0,2.52,11892.0,false_positive
2.1805277,2.969175,16.808853,16340.1353205,1.2714601,6599.0,kp
2.1846669,2.86528,13.7028527,11708.0228549,1.23824,5630.0,kp
3.7354838,4.142,21.2315,17030.0,1.57,6650.0,kp
21.701669,8.2676424,2.3751494,211.6567325,1.56486,5625.0,fa
9.139804,3.0912936,3.0629855,358.4157801,1.58,5958.2,cp
5.742625,2.860293,13.088532,1105.760867,3.86959,5664.0,false_positive
15.5077855,4.565,2.43432,513.0,1.17,6122.0,cp
17.4713078,4.4284819,3.5766828,1199.7541483,0.974669,5783.54,cp
5.3079507,3.2158594,3.0486928,391.3830934,1.36963,6124.3,pc
51.1701501,6.6641048,2.9366826,851.4547808,0.943356,5599.0,pc
11.1296441,7.0473822,12.8402271,951.6169809,3.4475601,5785.0,pc
9.4496506,2.021,17.0216,19750.0,0.94,5509.0,pc
2.8493825,3.567,16.3869,8049.0,1.77,6900.0,kp
2.0685633,0.373,3.89739,502.0,1.14,5687.9,apc
0.540933,1.674337,2.28501,257.347459,1.21935,5525.0,false_positive
4.1150576,1.08,2.30057,487.0,0.89,5394.0,cp
10.0665238,2.4023189,2.7272824,839.9044871,0.791742,5552.0,pc
6.4438657,1.9309449,2.460344,1121.9512275,0.737189,4803.0,cp
12.2265595,2.1904379,2.6014766,1206.3693293,0.737189,4803.0,cp
2.160344,1.828854,22.503541,19357.992992,1.2,5780.0,kp
4.606184,3.121643,12.962219,13793.034867,1.07,5670.0,kp
3.1316735,2.4579197,9.4995191,14915.6943722,0.76701,4351.0,kp
3.180362,2.111521,13.446487,21192.463324,0.92,5498.0,kp
2.9776446,2.962,14.4339,13022.0,1.22,5703.0,kp
3.9502008,4.444,20.5357,13914.0,1.71,6153.0,kp
2.9776152,3.25697,26.88423,43218.111683,1.28,5740.0,false_positive
3.5544026,2.0550535,13.200677,10164.8753396,1.11499,5639.0,kp
12.8379689,9.8464123,25.4886382,10539.0192794,2.4494,5765.0,false_positive
3.9228016,1.8736007,13.3368705,31510.9004906,0.6983,4444.0,cp
13.9428705,3.7522756,2.4233421,1015.395543,0.741671,5206.0,pc
0.6047392,1.0403847,1.8625587,1027.6833479,0.580337,4046.0,cp
2.5495611,2.6173308,12.9171288,14921.4021936,1.03997,5659.0,kp
1.6062693,1.9561305,12.6436029,16725.3019333,0.984326,5192.0,pc
0.5182425,0.8565249,1.3485121,831.8920424,0.390989,3325.0,cp
3.1644075,2.0576293,14.8814743,5603.4635466,1.7234,6519.0,pc
3.0440541,2.5984575,12.1086799,22236.0165376,0.809868,5523.0,kp
3.9652485,1.0112593,1.2305102,3680.7544436,0.199988,3296.0,pc
2.98278,3.109528,11.467011,6136.231662,1.23975,6027.0,pc
16.3469053,3.5865698,3.5059571,2212.4257252,0.649613,4310.0,pc
12.9802953,2.5034417,2.4241912,2407.2608671,0.491323,3614.0,pc
1.3484961,2.4074261,15.8824638,18463.7636682,1.14759,6346.0,kp
3.2541181,4.341,14.9476,13620.0,1.28,6102.0,apc
3.7178828,5.5277827,14.6986197,4864.8405125,2.0840001,5818.0,pc
9.30992,3.464,14.2968,2220.0,3.09,6907.0,false_positive
1.15395,2.236,5.48364,1550.0,1.4,6093.0,fa
4.73703,3.902,25.7144,2410.0,2.48,11600.0,false_positive
2.76676,2.6872178,12.2867389,14947.4387827,0.984866,5346.0,kp
2.19296,4.586,22.7769,4933.74,2.95,7009.8,false_positive
1.725841,3.674,15.0024,2710.0,2.39,7348.0,pc
1.1923,3.119,30.666,3730.0,2.04,6534.0,false_positive
0.5971314,0.468,9.08382,910.0,2.28,7710.0,apc
1.4821386,2.1867078,13.7339261,2102.6568299,2.6647301,7066.0,pc
0.9209526,1.8602735,5.7349089,360.8801529,2.8908899,6553.0,false_positive
9.188506,2.492,2.16591,460.0,0.98,5876.0,cp
13.9028391,2.1264429,2.6136848,647.2701039,0.983215,5876.0,cp
10.1826983,2.8275109,3.0538057,667.4752458,1.14582,6153.0,cp
6.441006,1.812,2.56374,914.0,0.8,4867.0,cp
3.1743504,2.751086,14.9172256,15457.3247576,1.15706,5943.0,kp
20.0731588,3.8449215,4.0506906,1152.9645461,1.14849,6033.0,false_positive
2.66903,1.548,9.36823,3110.0,1.56,5803.5,false_positive
6.63371,2.122,2.75375,1555.34,0.63,4138.1,false_positive
2.94308,4.073,45.3525,4490.0,3.13,4437.0,pc
341.2811281,6.303026,4.7531892,972.5797241,1.39203,6058.6,false_positive
10.8680523,2.375,2.90726,1553.0,0.76,4664.0,pc
11.1149,2.26,14.7645,900.0,4.94,5042.0,pc
4.0782392,4.8475616,13.898174,6046.6959687,1.74836,6501.0,cp
7.14386,1.467,22.1531,11146.4,1.91,7860.0,false_positive
7.04083,2.979,8.46404,1580.0,0.91,5317.0,false_positive
2.1061569,1.4688934,13.086872,12142.2238514,0.940697,5380.0,kp
2.4545635,2.321,11.1276,4248.0,1.64,6610.0,false_positive
11.4756978,0.808,14.1098,8341.0,2.13,7262.0,false_positive
2.78186,2.456,4.92567,490.0,2.21,6819.0,false_positive
6.4410082,1.798,4.59203,7076.0,0.53,3469.0,false_positive
4.45199,2.109,15.8858,8483.38,1.57,6708.3,apc
5.0100708,2.0644756,2.3107394,409.4812214,0.906282,5551.0,pc
2.2281625,2.015,2.56778,630.0,1.02,5731.0,pc
10.95663,3.588,23.9726,3830.0,2.07,6456.0,apc
2.4997996,2.865171,13.8516093,14621.2059647,1.13732,5650.0,kp
1.66226,3.321,13.3343,6030.0,1.64,7301.0,false_positive
3.6245513,3.042,4.3503,1299.0,1.38,6317.0,false_positive
1.20928,1.886,15.1764,11883.8,1.27,5159.8,apc
3.5187707,2.408,14.0061,5634.0,1.49,6690.0,apc
0.7724825,1.3744974,4.1624907,211.3168519,2.5027299,8271.0,pc
1.6268695,3.231,2.36498,1502.0,0.73,5034.0,false_positive
13.5499,1.795,6.24633,1180.0,1.63,6209.0,false_positive
4.43651,3.365,19.9664,1520.0,2.32,7101.9,false_positive
3.372877,2.63426,14.201803,17163.60419,1.02,6050.0,kp
8.34998,1.836,11.1424,16680.0,0.74,4236.0,cp
4.0686405,1.8373729,3.7548333,2650.0950013,0.741921,4236.0,cp
0.5860366,0.8098934,4.906408,410.5241553,2.39803,5579.0,pc
1.5502952,2.938,3.34528,411.0,1.86,7851.0,false_positive
1.80709,3.297,4.86242,450.0,2.2,6244.0,false_positive
18.6922101,7.765,18.1458,11126.0,1.65,6277.0,false_positive
8.0277326,4.284,9.06883,5705.0,1.15,5962.7,cp
12.5187279,5.38,5.58857,2320.0,0.98,5729.0,cp
6.2586065,3.201,2.51593,813.0,0.98,5729.0,cp
26.3208756,4.414,2.71349,800.0,0.98,5729.0,cp
18.795547,4.3425576,2.1597669,470.6731965,0.977727,5729.0,cp
1.3206356,1.6000996,34.7561624,1052.4255997,6.3070302,4919.6,pc
0.64971,2.076,6.23181,620.0,2.59,9994.0,false_positive
4.4780798,4.513,11.3678,1054.0,1.83,7947.0,pc
3.2887898,3.4367717,10.5135877,7005.7247902,1.24175,5800.0,kp
13.7431084,2.285,12.05,5688.0,1.34,5941.5,false_positive
16.9487087,4.2887767,45.2204505,156467.5479643,1.1179,5894.7,false_positive
3.3686634,3.012,42.2321,3288.0,2.68,7518.0,false_positive
11.2071839,4.366,17.4989,3276.0,2.24,6152.0,false_positive
4.8878037,2.184,5.29152,4279.0,0.76,4757.3,kp
0.660179,1.6349369,6.1672487,473.0939303,2.62432,8598.7,false_positive
10.9278415,2.468,49.1695,2743.0,2.92,6259.0,false_positive
5.5514888,4.335,15.8043,9493.0,1.55,6403.9,kp
4.7423709,2.4988145,10.5505922,12650.8110411,0.877585,5377.0,kp
1.4810903,4.1588291,20.3402421,6788.5145388,2.28773,9435.0,kp
3.4741012,3.317,21.2912,15748.0,1.62,8894.8,kp
6.0360758,1.255,9.86763,987.0,1.69,6528.3,apc
21.745537,4.196,2.10208,659.0,0.93,5704.0,pc
13.0727479,3.044,35.7944,4080.0,3.59,5709.8,false_positive
2.9258727,4.075,24.4055,6720.0,1.3,4884.5,false_positive
0.73774,0.636,5.28215,524.852,2.1,6449.5,false_positive
2.7985802,2.3801043,11.9514993,16708.7151957,0.906655,4920.0,kp
2.2552845,2.05,14.688,20820.0,0.96,5787.0,kp
1.8824539,2.46,8.29008,1391.0,1.13,5900.4,false_positive
15.196,1.792,4.96345,1970.0,1.14,5807.0,false_positive
2.1358631,1.559,23.6019,10325.0,1.5,5969.0,false_positive
6.7075429,2.125,17.4647,11920.0,1.24,6134.3,pc
3.5862962,3.3710943,16.4747611,5729.3246858,2.00441,5704.8,kp
1.8296155,2.166,29.3616,1406.0,3.5,7875.0,false_positive
11.1876137,3.183,31.8624,4924.0,2.05,7266.0,false_positive
7.0643978,2.424,9.39131,8268.0,0.96,5429.6,cp
8.9534775,2.696,2.35888,1136.0,0.76,5029.5,cp
7.5022708,2.605,5.55812,1760.0,1.27,6229.0,false_positive
14.0077666,5.8727493,12.4023108,5924.8349672,1.57435,6557.7,pc
1.692892,2.886,11.2371,1418.0,2.1,9121.5,false_positive
2.6652007,3.49,2.35964,819.0,0.56,4043.4,false_positive
1.2615323,1.039,8.67407,2841.0,0.78,4927.9,apc
6.0344667,1.89,4.44029,1800.0,1.05,5586.0,cp
9.6867516,2.512,3.00336,1669.0,0.73,4738.1,cp
2.1031647,5.059,16.7087,7142.0,1.93,6122.0,cp
7.6416041,2.654,27.538,6025.0,2.05,6496.7,false_positive
5.9294088,2.933,10.8101,10226.0,1.06,5095.6,false_positive
5.7484439,1.76,2.35215,1041.0,0.69,4534.0,cp
1.1967018,1.879,10.3239,824.0,1.73,5997.0,false_positive
11.2464616,7.391,17.6677,7576.0,2.01,6115.7,false_positive
2.5941968,0.861,4.47229,907.0,1.4,6389.0,pc
5.5411114,2.467,2.04482,633.0,0.82,5332.0,pc
10.6917268,3.002,1.79811,535.0,0.82,5332.0,pc
3.6950015,4.515,14.1288,7655.0,1.63,7106.7,apc
15.7335693,3.288,24.3218,2540.0,2.21,6800.0,false_positive
45.9403293,3.768,28.3312,14807.0,1.28,6479.3,apc
2.2219839,1.996,15.4416,4394.0,1.87,7166.8,false_positive
2.3106428,1.294,8.76741,6911.0,0.99,5339.9,cp
4.05135,2.4,14.2359,1132.23,3.85,4974.4,false_positive
5.5376617,2.517,15.6557,5390.0,2.06,6689.0,pc
4.5960377,4.744,16.2166,5000.0,2.12,7649.0,pc
3.612771,4.142,19.3662,11794.0,1.71,8324.0,kp
3.6714717,2.149,10.678,4340.0,1.54,5618.0,cp
11.535076,8.555958,12.215808,2389.90616,2.48771,5479.3,cp
0.8352406,1.043,6.4875,2065.0,1.24,6105.0,false_positive
2.4919771,1.4338141,2.2187585,2093.9594201,0.482388,3948.0,cp
25.5195307,6.6877451,2.9641461,558.3758637,1.17321,5742.22,cp
1.3812115,2.7372191,2.2402361,117.7553083,1.7756799,6711.0,pc
2.3922703,9.0053425,3.5905923,63.575141,4.1956,6090.0,pc
0.831542,1.985538,1.881684,248.969585,1.1512,5824.0,false_positive
2.6282553,2.0930597,0.9817044,75.2858004,1.10743,6282.0,pc
3.4239436,1.9601023,1.7581475,443.6391381,0.823019,5626.0,pc
10.983042,3.7478987,2.5070075,725.1724567,0.823019,5626.0,pc
17.726449,3.4404719,2.261664,747.7725499,0.823019,5626.0,pc
