orbital_period,transit_duration,planet_radius,transit_depth,stellar_radius,stellar_temp,label
0.955297055,1.7405,18.16,846.1,0.734,5319.0,false_positive
2.18660188,1.585,0.98,122.3,0.772,4904.0,confirmed
18.277358,,1.933,,0.636,4280.0,candidate
8.006875,,2.384,,0.846,5403.0,candidate
1.33258458,3.222,1.25,127.0,1.086,6384.0,false_positive
0.67554,0.922,15.6973,680.0,2.74,4872.0,false_positive
0.915782856,2.24,32.86,301.0,1.333,6318.0,false_positive
3.735051,2.4293974,14.2690959,8964.0239073,1.36818,5829.0,candidate
0.532087933,3.45028,74.83,510370.0,1.0,5780.0,false_positive
2.1208156,0.8427764,0.837844,1148.8773237,0.210908,3222.0,candidate
0.933728755,4.363,0.72,13.5,1.863,6652.0,false_positive
10.0044,,1.69,,0.435,4044.0,confirmed
31.71802083162,,2.29980485,,1.30883,6352.33,confirmed
3.1208396,2.405278,16.2108254,17027.4064902,1.09921,5983.0,kp
104.8729635,6.554,10.223,12183.0,0.88,5350.0,confirmed
8.747818,,3.55790985,,0.887267,5525.0,confirmed
0.905672916,1.0,0.76,110.4,0.741,4949.0,false_positive
0.865759153,0.8408,1.53,191.6,1.076,6249.0,false_positive
11.2005651,1.367,15.4812,7000.0,1.63,5682.2,apc
18.6922101,7.765,18.1458,11126.0,1.65,6277.0,false_positive
134.4785189,5.9288,10.52,4033.5,1.336,5791.0,confirmed
15.3058859,3.463,13.4962,6498.0,1.75,6803.6,candidate
45.0854117,1.646,7.92062,7870.0,0.8,5013.0,candidate
9.08233411,2.008,1.35,296.9,0.788,5354.0,confirmed
1.3821651,2.435,17.6176,9250.0,1.94,7662.0,candidate
10.18108,3.674,2.66019,1190.0,0.78,4822.0,candidate
87.5177787,2.55,1.85,136.5,1.137,5903.0,confirmed
13.841901,,2.5,,0.95,5695.0,confirmed
2.60720833,2.6452,7.31,3149.7,1.236,6366.0,candidate
16.607299,,2.532,,0.756,4878.0,candidate
3.06555,2.483,5.41363,2920.0,0.71,5285.0,false_positive
1.404411,,99.0,,2.02,6933.0,false_positive
6.66833241,1.915,1.18,362.3,0.591,4201.0,confirmed
1.19260017,1.502,0.77,58.0,1.013,5600.0,candidate
3.8795023,3.647,14.0735,12260.0,1.26,6048.0,candidate
6.882686062,5.47323,60.49,373660.0,0.948,5704.0,false_positive
0.839907158,1.019,0.92,119.6,0.853,5120.0,candidate
